[OpenCVCamera @ factory.py:85][DEBUG] 2017-10-27 19:30:11,892: Logging to: logs/record_video_demo/OpenCVCamera/record_video_demo.log
[OpenCVCamera @ camera.py:123][INFO] 2017-10-27 19:30:11,893: Loading capture '0'
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:30:14,894: received 32 messages in 3 seconds. 32 received in total (avg=10.7 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:30:17,895: received 36 messages in 3 seconds. 68 received in total (avg=11.3 messages/sec)
[OpenCVCamera @ node.py:71][INFO] 2017-10-27 19:30:20,979: received 37 messages in 3 seconds. 105 received in total (avg=11.6 messages/sec)
[OpenCVCamera @ node.py:79][DEBUG] 2017-10-27 19:30:21,394: [log buffer start]
[DEBUG, 1509147012.510201]: ImageMessage(t=1509147012.510195, n=0)
[DEBUG, 1509147012.567153]: ImageMessage(t=1509147012.567151, n=1)
[DEBUG, 1509147012.618643]: ImageMessage(t=1509147012.618641, n=2)
[DEBUG, 1509147012.643418]: ImageMessage(t=1509147012.6434162, n=3)
[DEBUG, 1509147012.6862879]: ImageMessage(t=1509147012.686285, n=4)
[DEBUG, 1509147012.718207]: ImageMessage(t=1509147012.718205, n=5)
[DEBUG, 1509147012.761044]: ImageMessage(t=1509147012.761041, n=6)
[DEBUG, 1509147012.803655]: ImageMessage(t=1509147012.803653, n=7)
[DEBUG, 1509147012.846741]: ImageMessage(t=1509147012.8467379, n=8)
[DEBUG, 1509147012.8923252]: ImageMessage(t=1509147012.892321, n=9)
[DEBUG, 1509147012.936308]: ImageMessage(t=1509147012.9363048, n=10)
[DEBUG, 1509147012.989093]: ImageMessage(t=1509147012.9890912, n=11)
[DEBUG, 1509147013.0337942]: ImageMessage(t=1509147013.033791, n=12)
[DEBUG, 1509147013.099447]: ImageMessage(t=1509147013.099444, n=13)
[DEBUG, 1509147013.1647968]: ImageMessage(t=1509147013.164793, n=14)
[DEBUG, 1509147013.2422342]: ImageMessage(t=1509147013.2422311, n=15)
[DEBUG, 1509147013.3194969]: ImageMessage(t=1509147013.3194938, n=16)
[DEBUG, 1509147013.3971698]: ImageMessage(t=1509147013.3971672, n=17)
[DEBUG, 1509147013.483603]: ImageMessage(t=1509147013.4836009, n=18)
[DEBUG, 1509147013.569984]: ImageMessage(t=1509147013.569982, n=19)
[DEBUG, 1509147013.6489851]: ImageMessage(t=1509147013.648981, n=20)
[DEBUG, 1509147013.768217]: ImageMessage(t=1509147013.768214, n=21)
[DEBUG, 1509147013.812564]: ImageMessage(t=1509147013.8125608, n=22)
[DEBUG, 1509147013.899515]: ImageMessage(t=1509147013.899512, n=23)
[DEBUG, 1509147013.985547]: ImageMessage(t=1509147013.985543, n=24)
[DEBUG, 1509147014.0698922]: ImageMessage(t=1509147014.069889, n=25)
[DEBUG, 1509147014.146851]: ImageMessage(t=1509147014.146847, n=26)
