[OpenCVRecorder @ factory.py:85][DEBUG] 2017-10-27 19:30:11,892: Logging to: logs/record_video_demo/OpenCVRecorder/record_video_demo.log
[OpenCVRecorder @ recorder.py:46][INFO] 2017-10-27 19:30:11,893: Initialized video recorder. Path set to: videos/video_record_demo.avi
[OpenCVRecorder @ recorder.py:101][INFO] 2017-10-27 19:30:14,236: dumping frame buffer. Size: 25
[OpenCVRecorder @ recorder.py:109][INFO] 2017-10-27 19:30:14,236: Writing to 'videos/video_record_demo.avi'. width = 1280, height = 720, fps = 17.89791412316861
[OpenCVRecorder @ recorder.py:114][INFO] 2017-10-27 19:30:14,237: Writing 25 frames
[OpenCVRecorder @ recorder.py:96][DEBUG] 2017-10-27 19:30:14,557: Dumping buffer. 25 frames reached
[OpenCVRecorder @ node.py:71][INFO] 2017-10-27 19:30:15,067: received 31 messages in 3 seconds. 31 received in total (avg=9.8 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-27 19:30:18,144: received 37 messages in 3 seconds. 68 received in total (avg=10.9 messages/sec)
[OpenCVRecorder @ node.py:71][INFO] 2017-10-27 19:30:21,156: received 37 messages in 3 seconds. 105 received in total (avg=11.3 messages/sec)
[OpenCVRecorder @ node.py:79][DEBUG] 2017-10-27 19:30:21,395: [log buffer start]
[DEBUG, 1509147012.510303]: Recording frame #0. Delay: 0.00010895729064941406
[DEBUG, 1509147012.6435242]: Recording frame #1. Delay: 0.07637405395507812
[DEBUG, 1509147012.6435452]: Recording frame #2. Delay: 0.024904251098632812
[DEBUG, 1509147012.643557]: Recording frame #3. Delay: 0.00014090538024902344
[DEBUG, 1509147012.761137]: Recording frame #4. Delay: 0.07485294342041016
[DEBUG, 1509147012.761158]: Recording frame #5. Delay: 0.0429539680480957
[DEBUG, 1509147012.7611709]: Recording frame #6. Delay: 0.00013113021850585938
[DEBUG, 1509147012.892447]: Recording frame #7. Delay: 0.08879494667053223
[DEBUG, 1509147012.892479]: Recording frame #8. Delay: 0.04574108123779297
[DEBUG, 1509147012.892499]: Recording frame #9. Delay: 0.00017786026000976562
[DEBUG, 1509147013.033891]: Recording frame #10. Delay: 0.09758734703063965
[DEBUG, 1509147013.0339122]: Recording frame #11. Delay: 0.044821977615356445
[DEBUG, 1509147013.033925]: Recording frame #12. Delay: 0.00013399124145507812
[DEBUG, 1509147013.242358]: Recording frame #13. Delay: 0.1429140567779541
[DEBUG, 1509147013.24239]: Recording frame #14. Delay: 0.07759690284729004
[DEBUG, 1509147013.24241]: Recording frame #15. Delay: 0.00017881393432617188
[DEBUG, 1509147013.483695]: Recording frame #16. Delay: 0.16420245170593262
[DEBUG, 1509147013.4837189]: Recording frame #17. Delay: 0.08655166625976562
[DEBUG, 1509147013.483733]: Recording frame #18. Delay: 0.00013208389282226562
[DEBUG, 1509147013.7683358]: Recording frame #19. Delay: 0.19835495948791504
[DEBUG, 1509147013.768378]: Recording frame #20. Delay: 0.11939692497253418
[DEBUG, 1509147013.768398]: Recording frame #21. Delay: 0.0001850128173828125
[DEBUG, 1509147013.985667]: Recording frame #22. Delay: 0.17310738563537598
[DEBUG, 1509147013.9857001]: Recording frame #23. Delay: 0.08618807792663574
[DEBUG, 1509147013.985738]: Recording frame #24. Delay: 0.00019502639770507812
[DEBUG, 1509147014.236007]: Recording frame #25. Delay: 0.16611790657043457
[DEBUG, 1509147014.557763]: Recording frame #26. Delay: 0.4109160900115967
[DEBUG, 1509147014.569054]: Recording frame #27. Delay: 0.33316993713378906
[DEBUG, 1509147014.817332]: Recording frame #28. Delay: 0.16691994667053223
[DEBUG, 1509147014.831218]: Recording frame #29. Delay: 0.10325884819030762
[DEBUG, 1509147014.842772]: Recording frame #30. Delay: 0.025950908660888672
[DEBUG, 1509147015.067633]: Recording frame #31. Delay: 0.17323970794677734
[DEBUG, 1509147015.080307]: Recording frame #32. Delay: 0.0890800952911377
[DEBUG, 1509147015.092138]: Recording frame #33. Delay: 0.02489495277404785
[DEBUG, 1509147015.3113081]: Recording frame #34. Delay: 0.16559100151062012
[DEBUG, 1509147015.324925]: Recording frame #35. Delay: 0.09257888793945312
[DEBUG, 1509147015.33627]: Recording frame #36. Delay: 0.02548813819885254
[DEBUG, 1509147015.570805]: Recording frame #37. Delay: 0.1728508472442627
[DEBUG, 1509147015.582678]: Recording frame #38. Delay: 0.09734702110290527
[DEBUG, 1509147015.5950232]: Recording frame #39. Delay: 0.024545907974243164
[DEBUG, 1509147015.8125792]: Recording frame #40. Delay: 0.16481518745422363
[DEBUG, 1509147015.8265119]: Recording frame #41. Delay: 0.10097169876098633
[DEBUG, 1509147015.838371]: Recording frame #42. Delay: 0.02630305290222168
[DEBUG, 1509147016.0687292]: Recording frame #43. Delay: 0.1364152431488037
[DEBUG, 1509147016.0809338]: Recording frame #44. Delay: 0.10438299179077148
[DEBUG, 1509147016.092737]: Recording frame #45. Delay: 0.02453303337097168
[DEBUG, 1509147016.3159192]: Recording frame #46. Delay: 0.1741318702697754
[DEBUG, 1509147016.329908]: Recording frame #47. Delay: 0.101348876953125
[DEBUG, 1509147016.3412611]: Recording frame #48. Delay: 0.025866031646728516
[DEBUG, 1509147016.568265]: Recording frame #49. Delay: 0.16599178314208984
[DEBUG, 1509147016.581126]: Recording frame #50. Delay: 0.10160017013549805
[DEBUG, 1509147016.592609]: Recording frame #51. Delay: 0.024724960327148438
[DEBUG, 1509147016.8100638]: Recording frame #52. Delay: 0.16417360305786133
[DEBUG, 1509147016.8240519]: Recording frame #53. Delay: 0.09198570251464844
[DEBUG, 1509147016.835584]: Recording frame #54. Delay: 0.025953054428100586
[DEBUG, 1509147017.0670369]: Recording frame #55. Delay: 0.17011117935180664
[DEBUG, 1509147017.0791318]: Recording frame #56. Delay: 0.10389471054077148
[DEBUG, 1509147017.091149]: Recording frame #57. Delay: 0.02462911605834961
[DEBUG, 1509147017.329139]: Recording frame #58. Delay: 0.18653488159179688
[DEBUG, 1509147017.342504]: Recording frame #59. Delay: 0.11301207542419434
[DEBUG, 1509147017.354187]: Recording frame #60. Delay: 0.025555849075317383
[DEBUG, 1509147017.646749]: Recording frame #61. Delay: 0.25233888626098633
[DEBUG, 1509147017.660801]: Recording frame #62. Delay: 0.17912912368774414
[DEBUG, 1509147017.6721349]: Recording frame #63. Delay: 0.11478400230407715
[DEBUG, 1509147017.683727]: Recording frame #64. Delay: 0.03751993179321289
[DEBUG, 1509147017.8959901]: Recording frame #65. Delay: 0.16460800170898438
[DEBUG, 1509147017.909255]: Recording frame #66. Delay: 0.0912930965423584
[DEBUG, 1509147017.920966]: Recording frame #67. Delay: 0.02562689781188965
[DEBUG, 1509147018.1448371]: Recording frame #68. Delay: 0.1630079746246338
[DEBUG, 1509147018.159044]: Recording frame #69. Delay: 0.09269094467163086
[DEBUG, 1509147018.17068]: Recording frame #70. Delay: 0.026347875595092773
[DEBUG, 1509147018.3970969]: Recording frame #71. Delay: 0.1659698486328125
[DEBUG, 1509147018.4108229]: Recording frame #72. Delay: 0.1015176773071289
[DEBUG, 1509147018.422163]: Recording frame #73. Delay: 0.025578022003173828
[DEBUG, 1509147018.647939]: Recording frame #74. Delay: 0.16503286361694336
[DEBUG, 1509147018.661984]: Recording frame #75. Delay: 0.101654052734375
[DEBUG, 1509147018.673561]: Recording frame #76. Delay: 0.026124000549316406
[DEBUG, 1509147018.900356]: Recording frame #77. Delay: 0.1673109531402588
[DEBUG, 1509147018.913631]: Recording frame #78. Delay: 0.09197998046875
[DEBUG, 1509147018.925283]: Recording frame #79. Delay: 0.025384187698364258
[DEBUG, 1509147019.148292]: Recording frame #80. Delay: 0.17333221435546875
[DEBUG, 1509147019.161037]: Recording frame #81. Delay: 0.1002190113067627
[DEBUG, 1509147019.172931]: Recording frame #82. Delay: 0.025104045867919922
[DEBUG, 1509147019.3983302]: Recording frame #83. Delay: 0.164384126663208
[DEBUG, 1509147019.411508]: Recording frame #84. Delay: 0.10014104843139648
[DEBUG, 1509147019.422882]: Recording frame #85. Delay: 0.024964094161987305
[DEBUG, 1509147019.648352]: Recording frame #86. Delay: 0.16421198844909668
[DEBUG, 1509147019.662445]: Recording frame #87. Delay: 0.1004800796508789
[DEBUG, 1509147019.674228]: Recording frame #88. Delay: 0.026381969451904297
[DEBUG, 1509147019.898746]: Recording frame #89. Delay: 0.15354681015014648
[DEBUG, 1509147019.912852]: Recording frame #90. Delay: 0.1006920337677002
[DEBUG, 1509147019.9243882]: Recording frame #91. Delay: 0.02603316307067871
[DEBUG, 1509147020.146561]: Recording frame #92. Delay: 0.16295719146728516
[DEBUG, 1509147020.160365]: Recording frame #93. Delay: 0.10162997245788574
[DEBUG, 1509147020.1723342]: Recording frame #94. Delay: 0.0262603759765625
[DEBUG, 1509147020.3941991]: Recording frame #95. Delay: 0.16078901290893555
[DEBUG, 1509147020.407907]: Recording frame #96. Delay: 0.10066509246826172
[DEBUG, 1509147020.419401]: Recording frame #97. Delay: 0.02561783790588379
[DEBUG, 1509147020.640903]: Recording frame #98. Delay: 0.15863394737243652
[DEBUG, 1509147020.6536992]: Recording frame #99. Delay: 0.08654999732971191
[DEBUG, 1509147020.664959]: Recording frame #100. Delay: 0.024469852447509766
[DEBUG, 1509147020.891136]: Recording frame #101. Delay: 0.1434183120727539
[DEBUG, 1509147020.905065]: Recording frame #102. Delay: 0.09232711791992188
[DEBUG, 1509147020.916728]: Recording frame #103. Delay: 0.026079893112182617
[DEBUG, 1509147021.1436942]: Recording frame #104. Delay: 0.16446328163146973
[DEBUG, 1509147021.156119]: Recording frame #105. Delay: 0.09954500198364258
[DEBUG, 1509147021.1682408]: Recording frame #106. Delay: 0.024946928024291992
[DEBUG, 1509147021.316962]: Recording frame #107. Delay: 0.08679795265197754
[DEBUG, 1509147021.329911]: Recording frame #108. Delay: 0.04955410957336426
[DEBUG, 1509147021.341314]: Recording frame #109. Delay: 0.0247499942779541
[log buffer end]
[OpenCVRecorder @ node.py:81][DEBUG] 2017-10-27 19:30:21,395: logging message buffer (len=8439)
[OpenCVRecorder @ node.py:102][INFO] 2017-10-27 19:30:21,395: Node took 9.502407789230347s to run
